LEA ID ,District,Title I Allocations Under the Recovery Act
3405010,FAIRFIELD TOWNSHIP,0
3405040,FAIRFIELD TOWNSHIP,"134,798"
3405070,FAIRVIEW BOROUGH,"262,282"
3405130,FARMINGDALE BOROUGH,"15,685"
3405190,FLEMINGTON-RARITAN REG,0
3405220,FLORENCE TOWNSHIP,"113,278"
3405250,FLORHAM PARK BOROUGH,0
3405280,FOLSOM BOROUGH,"40,083"
3405310,FORT LEE BOROUGH,"373,817"
3405340,FRANKFORD TOWNSHIP,"31,369"
3405400,FRANKLIN BOROUGH,"56,639"
3405370,FRANKLIN LAKES BOROUGH,0
3405430,FRANKLIN TOWNSHIP,"112,406"
3405460,FRANKLIN TOWNSHIP,0
3405490,FRANKLIN TOWNSHIP,"420,871"
3405520,FRANKLIN TOWNSHIP,0
3405550,FREDON TOWNSHIP,0
3405580,FREEHOLD BOROUGH,"165,560"
3405610,FREEHOLD REGIONAL,0
3405640,FREEHOLD TOWNSHIP,0
3405670,FRELINGHUYSEN TOWNSHIP,0
3405700,FRENCHTOWN BOROUGH,0
3405730,GALLOWAY TOWNSHIP,"310,207"
3405760,GARFIELD CITY,"579,460"
3405790,GARWOOD BOROUGH,"28,755"
3405820,GATEWAY REGIONAL,"81,037"
3405850,GIBBSBOROUGH BOROUGH,"17,089"
3405880,GLASSBORO,"354,647"
3405910,GLEN GARDNER BOROUGH,0
3405940,GLEN RIDGE BOROUGH,0
3405970,GLEN ROCK BOROUGH,0
3406000,GLOUCESTER CITY,"401,365"
3406030,GLOUCESTER TOWNSHIP,"641,327"
3400008,GREAT MEADOWS REGIONAL,0
3406060,GREATER EGG HARBOR REG,"282,323"
3406120,GREEN BROOK TOWNSHIP,0
3406090,GREEN TOWNSHIP,0
3406150,GREENWICH TOWNSHIP,"10,456"
3406180,GREENWICH TOWNSHIP,"44,440"
3406210,GREENWICH TOWNSHIP,0
3406240,GUTTENBERG TOWN,"431,737"
3406270,HACKENSACK CITY,"709,294"
3406300,HACKETTSTOWN TOWN,"87,137"
3406330,HADDON HEIGHTS BOROUGH,0
3406360,HADDON TOWNSHIP,"115,021"
3406390,HADDONFIELD BOROUGH,0
3406420,HAINESPORT TOWNSHIP,0
3406450,HALEDON BOROUGH,"196,010"
3406480,HAMBURG BOROUGH,"20,041"
3406510,HAMILTON TOWNSHIP,"287,551"
3406540,HAMILTON TOWNSHIP,"1,203,359"
3406570,HAMMONTON TOWN,"243,983"
3406600,HAMPTON BOROUGH,"13,942"
3406630,HAMPTON TOWNSHIP,0
3406660,HANOVER PARK REGIONAL,0
3406690,HANOVER TOWNSHIP,0
3406720,HARDING TOWNSHIP,0
3406750,HARDWICK TOWNSHIP,0
3406780,HARDYSTON TOWNSHIP,"39,212"
3406810,HARMONY TOWNSHIP,0
3406840,HARRINGTON PARK BOROUGH,"34,855"
3406870,HARRISON TOWN,"358,243"
3406900,HARRISON TOWNSHIP,0
3406930,HASBROUCK HEIGHTS BOROUGH,0
3406960,HAWORTH BOROUGH,0
3406990,HAWTHORNE BOROUGH,"162,946"
3413680,HAZLET TOWNSHIP,0
3407020,HELMETTA BOROUGH,0
3407050,HENRY HUDSON REGIONAL,"35,396"
3407080,HI NELLA,"8,352"
3407110,HIGH BRIDGE BOROUGH,0
3407140,HIGH POINT REGIONAL,"49,668"
3407170,HIGHLAND PARK BOROUGH,"107,178"
3407200,HIGHLANDS BOROUGH,"46,183"
3407230,HILLSBOROUGH TOWNSHIP,0
3407260,HILLSDALE BOROUGH,0
3407290,HILLSIDE TOWNSHIP,"358,132"
3407320,HO HO KUS BOROUGH,0
3407350,HOBOKEN CITY,"381,254"
3407380,HOLLAND TOWNSHIP,0
3407410,HOLMDEL TOWNSHIP,0
3407440,HOPATCONG,0
3407470,HOPE TOWNSHIP,0
3407500,HOPEWELL TOWNSHIP,"56,639"
3407530,HOPEWELL VALLEY REGIONAL,0
3407560,HOWELL TOWNSHIP,0
3407590,HUNTERDON CENTRAL REG,0
3407650,INTERLAKEN,0
3407680,IRVINGTON TOWNSHIP,"3,011,235"
3407710,ISLAND HEIGHTS BOROUGH,"12,199"
3407740,JACKSON TOWNSHIP,0
3407770,JAMESBURG BOROUGH,"59,253"
3407800,JEFFERSON TOWNSHIP,0
3407830,JERSEY CITY,"15,218,974"
3407860,KEANSBURG BOROUGH,"326,558"
3407890,KEARNY TOWN,"775,953"
3407920,KENILWORTH BOROUGH,"64,481"
3407950,KEYPORT BOROUGH,"91,494"
